,RegistrationDate,BirthYear,EnrollmentStatus,CumLoanAtEntry,EngPlacement,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,CompleteCIP1,TermGPA,CumGPA,Parent Adjusted Gross Income,Total Scholarship,Total Grant,Total Loan,Dropout
0,20140507,1980,2,-1,0,-2.0,-2.0,23.0101,-1.0,7.0,23.0101,4.0,3.82,0.0,0.0,7148.0,25500.0,0
1,20140113,1981,2,-1,0,-2.0,-2.0,51.3801,-1.0,4.0,24.69005,3.85,3.575,0.0,0.0,0.0,0.0,0
2,20120731,1977,2,-1,0,0.0,-2.0,0.0,-1.0,0.0,-2.0,2.65,2.02,0.0,0.0,18025.0,34000.0,1
3,20130618,1984,1,-2,0,0.0,-2.0,52.0801,-1.0,0.0,-2.0,3.8333333333333335,3.47,0.0,0.0,7601.0,0.0,0
4,20120426,1978,2,-1,1,0.0,0.0,52.0801,-1.0,0.0,-2.0,2.0,3.0,0.0,0.0,7138.0,0.0,0
5,20140126,1982,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,4.0,3.79,0.0,0.0,2225.0,0.0,0
6,20130819,1989,2,-1,0,-2.0,-2.0,51.0,-1.0,0.0,-2.0,4.0,3.46,0.0,0.0,313.0,28250.0,0
7,20120712,1983,2,-1,0,-2.0,-2.0,42.0101,13.1209,0.0,-2.0,3.0,3.5,0.0,1000.0,25017.0,17918.0,0
8,20120830,1983,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,4.0,2.91,0.0,0.0,3547.0,18900.0,0
9,20140619,1983,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,4.0,3.38,0.0,0.0,6626.0,10750.0,0
10,20130427,1970,2,-1,0,-2.0,-2.0,54.0101,-1.0,0.0,-2.0,4.0,3.0,0.0,0.0,14565.0,30250.0,0
11,20130614,1992,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,4.0,3.75,205799.0,0.0,0.0,10500.0,1
12,20130702,1995,1,-2,1,0.0,0.0,27.010100000000005,8.400066666666666,0.0,-2.0,2.333333333333333,2.876666666666667,88212.0,0.0,0.0,14500.0,0
13,20130814,1970,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,3.3,2.31,0.0,0.0,14447.51,0.0,0
14,20160420,1982,2,-1,0,-2.0,-2.0,16.0905,-1.0,0.0,-2.0,3.3,3.02,0.0,0.0,5370.0,5500.0,0
15,20140121,1981,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,3.2,3.24,0.0,0.0,20343.0,37680.0,0
16,20120731,1983,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,4.0,3.84,0.0,0.0,0.0,12500.0,0
17,20120712,1984,2,-1,0,-2.0,-2.0,51.3801,-1.0,4.0,24.69005,3.85,3.43,0.0,0.0,0.0,20000.0,0
18,20130723,1965,2,-1,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.7,2.93,0.0,10000.0,8765.0,16970.0,0
19,20120712,1994,1,-2,1,0.0,0.0,50.0701,-1.0,0.0,-2.0,3.2,3.285,54539.0,0.0,28643.0,0.0,1
20,20150119,1983,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,3.28,3.07,0.0,0.0,1260.0,8168.0,0
21,20130626,1980,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,4.0,3.62,0.0,0.0,0.0,11597.0,1
22,20120104,1977,1,-2,1,0.0,0.0,0.0,-1.0,0.0,-2.0,3.5,3.07,0.0,0.0,55043.0,56056.0,0
23,20130612,1984,1,-2,1,0.0,0.0,43.0203,-1.0,0.0,-2.0,4.0,3.11,0.0,0.0,5645.0,0.0,1
24,20150723,1984,2,-1,0,0.0,-2.0,43.0203,-1.0,0.0,-2.0,2.0,3.82,0.0,0.0,3765.0,20000.0,0
25,20121219,1985,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,2.8,2.76,0.0,0.0,1350.0,10500.0,1
26,20140708,1987,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.64,3.43,0.0,0.0,0.0,15700.0,0
27,20130826,1984,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.35,3.32,0.0,0.0,11302.0,0.0,0
28,20121026,1983,2,-1,1,0.0,0.0,52.0201,-1.0,0.0,-2.0,3.35,2.65,0.0,0.0,602.0,13250.0,0
29,20130725,1984,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,4.0,3.63,0.0,0.0,0.0,33625.0,0
30,20140115,1979,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.3,3.05,0.0,0.0,1877.0,17750.0,0
31,20150112,1981,2,-1,0,-2.0,-2.0,52.0201,-1.0,0.0,-2.0,2.0,1.92,0.0,0.0,3507.0,16000.0,0
32,20140707,1985,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,4.0,3.92,0.0,7000.0,0.0,3000.0,0
33,20120716,1994,1,-2,1,-2.0,0.0,0.0,-1.0,0.0,-2.0,3.5,2.07,17187.0,0.0,17741.0,5500.0,1
34,20130820,1986,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,4.0,3.78,0.0,5000.0,0.0,10000.0,0
35,20140408,1995,1,-2,1,0.0,0.0,43.0299,-1.0,0.0,-2.0,2.85,2.44,44945.0,0.0,8215.0,4500.0,0
36,20150428,1995,2,-1,0,-2.0,-2.0,23.0101,-1.0,0.0,-2.0,2.0,3.26,22152.0,4000.0,22296.0,0.0,0
37,20130626,1986,1,-2,1,0.0,0.0,42.0101,-1.0,0.0,-2.0,3.7,3.08,0.0,250.0,15890.0,38000.0,0
38,20111215,1976,2,-1,0,-2.0,-2.0,43.0199,-1.0,8.0,43.0199,2.35,2.52,0.0,0.0,2200.0,18250.0,0
39,20140424,1995,1,-2,1,-2.0,0.0,34.68006666666667,16.713366666666666,0.0,-2.0,3.3666666666666667,3.72,90803.0,17000.0,0.0,8500.0,0
40,20120109,1984,2,-1,0,-2.0,-2.0,43.0199,-1.0,0.0,-2.0,1.5,2.92,0.0,0.0,20228.0,27250.0,0
41,20130703,1985,2,-1,0,-2.0,-2.0,51.3801,-1.0,0.0,-2.0,3.7,3.94,0.0,0.0,2817.0,14750.0,0
42,20120830,1983,2,-1,0,-2.0,-2.0,27.00505,-1.0,0.0,-2.0,3.325,2.76,0.0,0.0,41116.0,69854.0,0
43,20120619,1985,2,-1,0,-2.0,-2.0,9.0101,-1.0,0.0,-2.0,3.85,3.955,0.0,300.0,2555.0,28500.0,0
44,20120731,1984,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.9,3.91,0.0,0.0,0.0,17500.0,0
45,20140612,1996,1,-2,0,-2.0,-2.0,42.0101,-1.0,0.0,-2.0,3.0,3.17,77010.0,5000.0,0.0,0.0,0
46,20120112,1957,2,-1,0,-2.0,-2.0,51.3801,-1.0,4.0,24.69005,4.0,3.985,0.0,2500.0,9234.0,0.0,0
47,20130612,1990,2,-1,0,-2.0,-2.0,51.3801,-1.0,8.0,51.3801,3.7,3.94,109648.0,5000.0,0.0,16780.0,0
48,20120420,1994,1,-2,1,0.0,0.0,11.0101,-1.0,0.0,-2.0,3.3,1.87,38221.0,0.0,29926.0,42941.0,0
49,20160720,1986,2,-1,0,-2.0,-2.0,51.3899,-1.0,8.0,51.3899,3.9,3.88,0.0,1188.33,0.0,39500.0,0
50,20120717,1977,2,-1,0,-2.0,-2.0,16.0905,-1.0,3.5,7.045249999999999,3.15,2.71,0.0,0.0,4700.0,25000.0,0
