StudentID,Zip,RegistrationDate,Gender,BirthYear,Hispanic,AmericanIndian,Asian,Black,NativeHawaiian,White,TwoOrMoreRace,HSDip,HSDipYr,HSGPAWtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,Total Scholarship,Total Work Study,Total Grant,Total Loan,Dropout
21868,7032.0,20140507,2,1980,0,0,0,0,0,1,0,1,-1,-1,-1,0,2,71.0,66.0,-1,0,0,0,0,0,-2.0,-2.0,23.0101,-1.0,7.0,0.0,23.0101,-2.0,-1.0,6.0,4.0,3.82,1,30600.0,0.0,2,2,2,0.0,0.0,7148.0,25500.0,0
23538,7002.0,20140113,2,1981,0,0,1,0,0,0,0,1,-1,-1,-1,0,2,-1.0,79.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,4.0,0.0,24.69005,-2.0,-1.0,6.0,3.85,3.575,1,28376.0,0.0,3,2,2,0.0,0.0,0.0,0.0,0
25893,7032.0,20120731,2,1977,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,74.0,25.0,-1,0,1,0,0,0,0.0,-2.0,0.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.65,2.02,2,25946.0,0.0,1,1,1,0.0,0.0,18025.0,34000.0,1
31216,7002.0,20130618,1,1984,0,0,0,0,0,1,0,1,-1,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,0.0,-2.0,52.0801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.8333333333333335,3.47,1,18522.0,0.0,2,2,2,0.0,0.0,7601.0,0.0,0
31659,7047.0,20120426,2,1978,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,79.0,66.0,-1,2,1,1,0,0,0.0,0.0,52.0801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,2.0,3.0,4,33951.0,0.0,2,2,2,0.0,0.0,7138.0,0.0,0
34166,7208.0,20140126,2,1982,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1.0,79.0,-1,0,0,0,0,0,-2.0,-2.0,51.3801,-1.0,8.0,0.0,51.3801,-2.0,-1.0,6.0,4.0,3.79,1,22144.0,0.0,2,2,3,0.0,0.0,2225.0,0.0,0
34272,7087.0,20130819,1,1989,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,95.0,44.0,-1,0,0,0,0,0,-2.0,-2.0,51.0,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.46,1,23865.0,0.0,1,2,2,0.0,0.0,313.0,28250.0,0
34919,7305.0,20120712,2,1983,0,0,0,1,0,0,0,1,-1,-1,-1,0,2,50.0,50.0,-1,2,0,0,0,0,-2.0,-2.0,42.0101,13.1209,0.0,0.0,-2.0,-2.0,-1.0,6.0,3.0,3.5,1,0.0,0.0,2,1,2,1000.0,0.0,25017.0,17918.0,0
42888,7302.0,20120830,2,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,143.0,66.0,-1,0,0,0,0,0,-2.0,-2.0,42.0101,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,2.91,1,13214.0,0.0,2,2,2,0.0,0.0,3547.0,18900.0,0
43071,7305.0,20140619,1,1983,1,0,0,0,0,0,0,1,-1,-1,-1,0,2,-1.0,70.0,-1,2,0,0,0,0,-2.0,-2.0,51.3801,-1.0,0.0,0.0,-2.0,-2.0,-1.0,6.0,4.0,3.38,2,36124.0,0.0,1,1,2,0.0,0.0,6626.0,10750.0,0
